APPLICATIONFEE,APPROVALREQUIRED,AREA,BATHSFULL,BATHSHALF,BEDS,CITY,CLOSEDDATE,COMPACTOR,COMPBONUS,CONNECTIONS,COOLSYSTEM,COOPSALE,COUNTERTOPS,COUNTRY,COUNTY,DAYSONMARKET,DAYSONMARKETCUMULATIVE,DAYSTOCLOSING,DEPOSITPET,DEPOSITSECURITY,GARAGECAP,GPEXT_GEOCODEDATE,GPEXT_LATITUDE,GPEXT_LONGITUDE,LEASEPRICE,LEGALSUBDIVISION,LISTDATE,LISTPRICE,LOTSIZE,LOTSIZESRC,PETS,PHOTOCOUNT,PHOTODATE,REALREMARKS,RECFACILITYFEE,REMARKS,REMOVALOPTDATE,RENTALTERMS,RENTALTYPE,SQFTBLDG,SQFTSOURCE,STORIES,STREETDIR,STREETNAME,STREETNUM,STREETNUMDISPLAY,SUBDIVISION,YEARBUILT,ZIP4,ZIPCODE
60,Y,30,3,1,5,Richmond,10/3/15 0:00,NULL,NULL,"ELDRY,GASDR,WASHR",CNELE,Y,GRANITE,183,FORTBEND,0,145,0,NULL,3000,2,10/3/15 8:51,29.55417061,-95.70855713,2750,CANYON LAKES AT THE BRAZOS,10/3/15 0:00,2750,NULL,NULL,NOALL,32,10/3/15 8:51,"**NON-CSS! TEXT/EMAIL AGENT FOR SHOWINGS** Make-ready complete; newly installed carpets downstairs. COMPLETE application w/legible copy of DL, SS card & application fee of $60 per individual over 18/$100 married couple-NO EXCEPTIONS! Listing agent will draw up lease agreement & will conduct background, reference, credit & employment checks. Cannot hold more than 3 wks. 2-yr. lease or longer.",NULL,"Nestled in an exclusive, gate-guarded enclave by Greatwood on a private CDS, this LAKEVIEW home epitomizes GRANDEUR. 2sty entry showcases architectural columns, art niches & sweeping staircase. Extensive upscale tile flows into family room w/soaring ceilings overlooking lake, fountain & greenbelt. Kitchen features granite countertops, 8' island & SS appliances. ENORMOUS gameroom. New custom paint & carpet. Amenities incl. tennis & basketball courts, fitness center, lap pool/spa, parks/trails.",NULL,LONGT,FREES,3773,APDIS,2,NULL,WATERMOON,1222,1222,Canyon Lakes at the Brazos,2005,NULL,77469
50,Y,30,1,0,4,Richmond,10/1/15 0:00,NULL,NULL,NULL,CNELE,N,GRANITE,183,FORTBEND,66,66,20,Y,1400,0,7/7/15 18:39,29.59210014,-95.77181244,1300,HERITAGE HEIGHTS,7/7/15 0:00,1300,6200,APPDS,CSBAS,28,8/17/15 8:40,"PLEASE SUBMIT LEASE APPLICATION FOR EVERYONE OVER 18, COPY OF DRIVERS LICENSE, 2 MOST RECENT PAYCHECK STUBS.  NO SECTION 8. NICELY RENOVATED HOME. LANDLORD USING MYSMARTMOVE.COM",NULL,"RENOVATED 4 BEDROOM HOME WITH RECENT PAINT AND LARGE TILE FLOORING THROUGHOUT! GRANITE IN KITCHEN W/ GLASS TILE BACKSPLASH, STAINLESS STEEL GAS RANGE AND MICROWAVE. ALL BEDROOMS WITH CEILING FANS. BATHROOM COMPLETELY REMODELED! IN HOUSE UTILITY ROOM. BEAUTIFUL FULLY FENCED BACKYARD(RECENT FENCE). MUST SEE!",NULL,1YEAR,FREES,1456,APDIS,1,NULL,Goliad Ave,1304,1304,Heritage Heights Sec 1,1975,1629,77469
55,Y,30,2,1,3,Rosenberg,10/1/15 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,8,8,64,Y,1700,2,7/23/15 11:29,29.52586746,-95.7244873,1700,BONBROOK PLANTATION,7/21/15 0:00,1700,8485,APPDS,CSBAS,15,7/24/15 17:12,House should be available for rent in 30 to 45 days  Room sizes are estimated,NULL,"Great open floor plan--large kitchen with curved serving bar that opens to den & breakfast area, study off entry, master is at the back of the others towards the front, nice covered patio area, view of the lake",NULL,1YEAR,FREES,2513,APDIS,NULL,NULL,Turnbull Ln,9119,9119,Bonbrook Plantation South,2013,5363,77469
35,Y,30,1,1,2,Rosenberg,10/1/15 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,9,9,25,Y,995,2,8/28/15 23:28,29.57029152,-95.77330017,995,PECAN PARK,8/28/15 0:00,995,7283,APPDS,CSBAS,15,8/29/15 0:34,"****EXCELLENT OWNER LOOKING FOR A GOOD TENANT****MUST HAVE A GOOD VERIFIABLE JOB AND RENTAL REFERENCE....$35 APPLICTION FEE FOR EACH PERSON OVER 18. MUST BE PAID IN CASH OR MONEY ORDER BEFORE PROCESSING APPLICATION. NEED A COPY OF LAST 30 DAYS OF PAY STUBS, DRIVER'S LICENSE AND SOCIAL SECURITY CARD.",NULL,"****GREAT VALUE FOR 2 BEDROOM DUPLEX WITH 2 CAR GARAGE AND SPACIOUS FENCED YARD! NEW CARPET & PAINT...LARGE LIVING AREA WITH WOOD BURNING OR GAS LOGS FIREPLACE! LARGE BREAKFAST AREA AND NICE KITCHEN WITH LOTS OF WINDOWS! CEILING FANS, SPACIOUS WALK IN CLOSETS IN BOTH BEDROOMS! QUIET SUBDIVISION CONVENIENTLY LOCATED CLOSE TO SHOPPING AND SCHOOLS! CLOSE TO FM 762 AND HWY 90. WELL MAINTAINED DUPLEX LOOKING FOR A GOOD TENANT! HURRY WON'T LAST - GOOD CONDITION NEAT AND CLEAN!",NULL,1YEAR,DUPLX,1303,APDIS,2,NULL,Wilson Dr,1103,1103,Pecan Park Sec 1,1982,2235,77471
45,Y,30,3,1,4,Rosenberg,10/1/15 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,Granite,183,FORTBEND,12,12,12,Y,1935,2,9/2/15 21:39,NULL,NULL,1945,BONBROOK PLANTATION,9/7/15 0:00,1945,NULL,NULL,CSBAS,16,9/7/15 23:17,"Text Agent for showings. Non refundable Fee $45 per unmarried adult, money order or cash payable to Century 21 The Real Estate Group, complete lease application and copy of driver license/social security card for each applicant,proof of income- 2 months pay stubs. Easy and quick to show. All Applications are welcome!!",NULL,"NEW Home by America's #1 Builder D.R. Horton! Amazing 2 Story Entry w/Wood Flrs & Wrought Iron Stairway!Formal Dining w/Wood Flrs!Grand Living w/Bay Window,Cast Stone Fireplace & Wood Flrs!Gourmet Kitchen w/Granite Counters,Stone Backsplash,Custom Cabinets,Frigidaire Appliances, Tile Flrs,Under-mount Sink,Water Filtration System!Master w/His & Her Private Sink Vanities,Deep Garden Tub,Separate Glass Shower, Walk-in-Closet!Lrg Game Rm Up!Rear Covered Patio!",NULL,1YEAR,FREES,2650,BUILD,NULL,NULL,Massanutten Lane,9806,9806,Bonbrook Plantation,2015,NULL,77469
55,Y,30,3,1,4,Richmond,10/1/15 0:00,NULL,NULL,"GASDR,WASHR",CNELE,Y,Corian,183,FORTBEND,14,96,9,NULL,1795,2,9/8/15 20:39,29.56351089,-95.71965027,1550,RIVERPARK WEST,9/8/15 0:00,1550,8314,APPDS,NOALL,15,9/15/15 20:23,NULL,NULL,"FANTASTIC 4 BEDROOM HOME W/ NEW CARPET, FRESH PAINT INTERIOR. LIVING ROOM CAN BE STUDY OR 5TH BEDROOM. TILED ENTRY/KITCHEN/BREAKFAST. SPACIOUS FAMILY ROOM. READY FOR IMMEDIATE MOVE-IN. NEW A/C WILL BE INSTALLED.",NULL,LONGT,FREES,2765,APDIS,2,NULL,Naple Hollow Ln,22307,22307,Riverpark West Sec 3,2003,6421,77469
35,Y,30,2,1,4,sugar land,10/1/15 0:00,NULL,NULL,NULL,CNGAS,N,Granite,183,FORTBEND,6,6,15,Y,NULL,2,9/11/15 12:07,29.59791565,-95.66970825,2350,NEW TERRITORY,9/10/15 0:00,2350,NULL,NULL,YESAL,13,9/12/15 10:32,NULL,NULL,NULL,9/30/15 0:00,1YEAR,FREES,3037,APPRS,NULL,NULL,Amelia Terrance Ct,6011,6011,New Territory,1990,NULL,77479
50,Y,30,2,0,3,Fulshear,10/1/15 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,4,4,9,Y,2500,2,9/14/15 12:42,29.66747284,-95.94343567,2400,WESTON LAKES,9/18/15 0:00,2500,5892,APPDS,CSBAS,28,9/18/15 17:09,Broker is the owner.  Landlord to pay for Weston Lakes Country Club Social Membership fees.,OWNER,Adorable Patio Home overlooking the lake in the beautiful gated community of Weston Lakes with manned Guard gate and all the amenities. Flexible open and bright floor plan. Large Master Suite. Computer niche. Granite in the Bathrooms. Huge Kitchen and stunning Breakfast Room.,9/30/15 0:00,LSEPR,FREES,2209,APDIS,1,NULL,Lake Village Dr,4510,4510,Weston Lakes,1992,4035,77441
40,Y,30,2,0,4,RICHMOND,10/1/15 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,Laminate,183,FORTBEND,7,7,1,Y,1350,2,9/21/15 17:11,29.51847267,-95.74771118,1350,Walnut Creek,9/23/15 0:00,1350,6056,APPDS,CSBAS,11,9/23/15 11:57,"If checking availability, PLEASE ONLY EMAIL or TEXT ME.  ATTN: ALL ITEMS need to be received in order to start processing application.  Please turn in a FULLY completed application (with all phone numbers to verify references), 2 current paystubs & copy of ID.  $40 App fee per adult. All occupants 18 & over need to complete application.  Application fee can be paid online at www.SUGARLANDPM.com. Once approved, DEPOSIT IS DUE WITHIN 48 HOURS ALONG WITH A SIGNED LEASE which we will prepare.",NULL,"Very cute 4 bedroom home with close access to 59.  Good size yard, great for entertainment. Don't wait long to show your clients. The property is currently being professionally cleaned, and carpets will be professionally cleaned as well.",NULL,1YEAR,FREES,1249,APDIS,1,NULL,HAVEN FOREST LN,6723,6723,WALNUT CREEK SEC 3,2009,5756,77469
50,Y,30,2,1,3,Sugar Land,9/30/15 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,Y,NULL,183,FORTBEND,57,57,7,Y,1850,2,7/28/15 13:15,29.57136726,-95.68827057,1750,RIVERPARK,7/28/15 0:00,1750,13930,APPDS,CSBAS,22,8/24/15 14:23,Good renters needed.,NULL,"Ready to move in! Pretty Cul De Sac home. 2 story entry, Large Den with fireplace. Island kitchen with lots of cabinets. Big breakfast room area. Spacious game with built in desk. Master bathroom with separate shower and whirlpool tub. Huge back room. Good renters needed. pet per case. NON smoker. $50 application fee ( for one). Copy of driver license and pay stubs. Easy access to Hw 59 and 99.",NULL,1YEAR,NULL,2675,APDIS,2,NULL,Rosehaven Ct,5422,5422,Riverpark ,2001,8842,77479
35,Y,30,3,0,5,Sugar Land,9/30/15 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,17,17,1,NULL,2300,2,9/12/15 10:45,29.58631897,-95.61389923,2100,GRANTS LAKE,9/12/15 0:00,2300,14063,APPDS,NOALL,11,9/16/15 17:22,"(4) Bedrooms in the main house, plus garage apartment with full bath. Backyard is unbelievable- entertaining, play area and living space in this home is ample. LL will paint common areas, clean carpet and touch up. Ready for move in with LL improvements by 9/1/15. Credit 700+, background check and rental history- no pets -no smokers.",NULL,"Waterfront home on Grants Lake, 14.000 SF + lot, lush landscaping, (4) bedrooms in the main house, and a garage apartment (like new).  A sunny great room overlooking the lake, ground floor patio and roof top patio! One of a kind rental in this charming neighborhood. Sunny kitchen, gas stove top, master has an additional custom closet and garden bath. Laminate, tile and carpeted flooring. Fort Bend Schools. Ready for move in 9/30/15.",NULL,1YEAR,FREES,2625,SELLR,1,NULL,Planters ST,2318,2318,Grants Lake,1985,NULL,77479
40,Y,30,3,0,4,Rosenberg,9/28/15 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,Granite,183,FORTBEND,99,99,6,NULL,1950,2,6/12/15 11:43,29.53088188,-95.76514435,1900,OAKS OF ROSENBERG,6/15/15 0:00,1900,NULL,APPDS,NOALL,19,9/2/15 11:58,"Please submit TAR-2003 to Property Manager, Kristin Wallman, at kristin@fineproptx.com. Application fee $40.00 per occupant over 18 to be paid online at www.fpmcreditcheck.com. Security Deposit made payable to Fine Property Management (Cashier's Check Only), 1st Month's Rent made payable to RE/MAX Fine Properties. NO MONEY ORDERS WILL BE ACCEPTED.",NULL,"Gorgeous Perry Home located on a quiet cul-de-sac street ready for immediate move in. Open light and bright floor plan with tons of upgrades. Spacious kitchen with stainless steel appliances, granite countertops, 42'' cabinets, tile backsplash & breakfast bar. Split floor plan with large secondary bedrooms. Gamers upstairs can be used as a second master bedroom. Ample storage throughout the home. Greenbelt directly behind the property offers privacy. Oversized master closet and whirlpool tub.",NULL,1YEAR,FREES,2804,APDIS,NULL,NULL,Belvedere Dr,5411,5411,The Oaks Of Rosenberg Sec 1,2010,6713,77471
45,Y,30,2,0,3,ROSENBERG,9/28/15 0:00,N,NULL,NULL,CNELE,N,NULL,183,FORTBEND,43,43,2,NULL,1800,2,8/14/15 16:27,29.51524544,-95.74652863,1800,Walnut Creek,8/14/15 0:00,1800,NULL,NULL,NOALL,17,9/20/15 14:06,"Applicant has been accepted.  East to show, make appointment through CSS.  Please lock doors, turn off lights.",OWNER,"BEAUTIFUL LENNAR HOMES NEVER LIVED-IN. 1-STORY 3/2/2 +DINING, ISLAND KITCHEN WITH DESIGNER CABINET, GRANITE COUNTER TOPS & SS APPLIANCE, 2'' FAUX WOOD BLINDS; CEILING FANS; COVERED PATIO WITH CEILING FAN, SPRIKLER SYSTEM FRONT AND BACK, GARGAGE DOOR OPENER; ENERGY EFFICIENT 16 SEER HVAC. THERMOSTAT; MINUTES TO BRAZOS SHOPPING CENTER, 10 MINUTES TO SUGAR LAND TOWN CENTER, EXCELLENT LAMAR CONSOLIDATED.",NULL,1YEAR,FREES,1857,BUILD,1,NULL,PLUM ROSE LN,2035,2035,WALNUT CREEK,2015,NULL,77469
50,Y,30,2,0,3,Rosenberg,9/27/15 0:00,N,NULL,"GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,72,72,2,Y,1700,2,7/15/15 23:08,29.53281593,-95.73313141,1650,RIVER RUN AT THE BRAZOS,7/15/15 0:00,1650,7174,APPDS,CSBAS,25,7/16/15 16:22,"The property is vacant, ready to move in ! Supra box on the left side near the gas meter. Please collect the application fee of $50 for each application. please fax application to 866-846-1291.",NULL,"Nice 3 bedroom 2 bath one store home located nice master community. Move in condition. Upgraded Kitchen with open floor plan. Large family room and dinning room connected together. Double sink master bath room with separate shower and tub. Spacious master bad. Refrigerator, washer and dryer included.",NULL,1YEAR,NULL,1775,APDIS,NULL,NULL,Daylilly Ct,607,607,River Run At The Brazos Sec,2007,4861,77469
45,Y,30,2,0,3,Rosenberg,9/27/15 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,14,14,3,NULL,1400,2,9/10/15 19:34,29.54735756,-95.80028534,1375,CAMBRIDGE VILLAGE,9/10/15 0:00,1400,7114,APPDS,NOALL,10,9/15/15 21:06,NULL,NULL,"Well maintained home in nice, quiet established neighborhood, close to schools, etc....Back patio",NULL,1YEAR,FREES,1383,APDIS,NULL,NULL,Davis Ave,2506,2506,Cambridge Village Sec 2,1979,4532,77471
0,Y,30,3,1,4,SUGAR LAND,9/26/15 0:00,N,NULL,"ELDRY,GASDR,WASHR","CNELE,ZONED",Y,granite,183,FORTBEND,68,68,3,Y,2350,2,7/17/15 21:19,29.55067444,-95.68862915,2200,GREATWOOD KNOLL,7/17/15 0:00,2200,0,APPDS,CSBAS,20,7/17/15 21:26,"good credit only, the score have to over 675/no smoker, no pet/1 mo. deposit plus 1st mo. rent/ no application fee, tenant provide recently credit report to listing agent for landlord qualify/ no short term lease",OWNER,NULL,NULL,1YEAR,FREES,2266,APDIS,2,NULL,SHADY LN,6943,6943,GREATWOOD KNOLL SEC 1,1991,6017,77479
45,Y,30,2,1,4,Sugar Land,9/26/15 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,85,85,1,NULL,1975,2,7/1/15 20:29,29.54334259,-95.66677856,1890,GREATWOOD STONEBRIDGE,7/2/15 0:00,1890,11086,APPDS,NOALL,8,7/2/15 12:12,"No pet please. Not so perfect credit need extra deposit. Appl fee $45/adult or $65/married couple (SAME last name); clear copy of driver's licenses, 2 paycheck stubs/2 months bank statements. No contract sign yet, please send application thru email if wish. occupied, please confirm the appointment before showing.",OWNER,"Wonderful 4 bedrooms, 2.5 bath home on a spacious cul-de-sac lot. 2 story entry foyer / high ceiling in family room with bay window and wood floors. Master bedroom downstairs, gameroom & 3 other bedrooms upstairs. 42'' cabinets in kitchen, gas cooking range and tile floor. Front covered porch & rear covered patio with a large backyard. House occupied, all appointment need to be confirmed.",NULL,LONGT,FREES,2542,APDIS,2,NULL,High Terrace Dr,8110,8110,Greatwood Stonebridge Sec 1,2000,6900,77479
